draw_no,draw_date,main,supp,powerball,source
328,2002-08-29,3 9 21 29 45,,11,archive
329,2002-09-05,8 12 26 39 41,,18,archive
330,2002-09-12,8 22 26 27 32,,32,archive
331,2002-09-19,1 25 34 37 41,,40,archive
332,2002-09-26,6 24 27 38 41,,35,archive
333,2002-10-03,1 4 18 23 32,,35,archive
334,2002-10-10,8 19 28 29 45,,22,archive
335,2002-10-17,4 5 11 27 28,,16,archive
336,2002-10-24,5 21 25 33 45,,22,archive
337,2002-10-31,7 14 16 19 45,,24,archive
338,2002-11-07,8 30 33 35 36,,1,archive
339,2002-11-14,1 30 32 33 36,,31,archive
340,2002-11-21,14 21 40 41 44,,16,archive
341,2002-11-28,6 11 22 23 35,,42,archive
342,2002-12-05,12 16 25 29 37,,22,archive
343,2002-12-12,6 7 10 27 40,,40,archive
344,2002-12-19,8 28 34 39 42,,1,archive
345,2002-12-26,5 8 9 10 26,,2,archive
346,2003-01-02,9 12 28 31 43,,6,archive
347,2003-01-09,13 15 20 24 41,,32,archive
348,2003-01-16,10 23 35 38 45,,19,archive
349,2003-01-23,10 11 19 39 45,,8,archive
350,2003-01-30,3 23 30 31 40,,18,archive
351,2003-02-06,1 23 28 35 42,,40,archive
352,2003-02-13,4 5 10 30 39,,25,archive
353,2003-02-20,4 21 24 26 38,,18,archive
354,2003-02-27,1 6 12 15 39,,28,archive
355,2003-03-06,8 24 37 38 45,,11,archive
356,2003-03-13,4 18 29 30 35,,4,archive
357,2003-03-20,12 14 40 41 43,,24,archive
358,2003-03-27,1 13 14 22 44,,18,archive
359,2003-04-03,1 11 16 41 42,,39,archive
360,2003-04-10,4 6 21 23 44,,32,archive
361,2003-04-17,3 9 21 29 39,,4,archive
362,2003-04-24,13 17 23 33 38,,26,archive
363,2003-05-01,15 24 25 31 38,,38,archive
364,2003-05-08,5 9 19 22 26,,7,archive
365,2003-05-15,4 8 21 33 36,,26,archive
366,2003-05-22,3 34 37 40 41,,18,archive
367,2003-05-29,7 9 10 29 38,,42,archive
368,2003-06-05,1 5 9 25 29,,31,archive
369,2003-06-12,2 4 8 36 43,,29,archive
370,2003-06-19,5 6 16 31 35,,38,archive
371,2003-06-26,6 7 14 31 33,,28,archive
372,2003-07-03,2 4 8 24 32,,12,archive
373,2003-07-10,5 16 17 18 22,,17,archive
374,2003-07-17,9 16 24 25 34,,11,archive
375,2003-07-24,12 17 18 20 33,,19,archive
376,2003-07-31,2 24 25 35 39,,36,archive
377,2003-08-07,4 11 13 32 44,,17,archive
378,2003-08-14,24 30 34 36 42,,15,archive
379,2003-08-21,17 24 26 34 45,,36,archive
380,2003-08-28,5 9 12 13 27,,42,archive
381,2003-09-04,3 5 12 35 45,,42,archive
382,2003-09-11,11 23 25 34 42,,10,archive
383,2003-09-18,19 27 29 39 44,,41,archive
384,2003-09-25,2 14 26 31 33,,44,archive
385,2003-10-02,1 24 30 44 45,,13,archive
386,2003-10-09,6 11 34 37 38,,16,archive
387,2003-10-16,2 12 18 26 42,,12,archive
388,2003-10-23,21 26 29 38 43,,4,archive
389,2003-10-30,3 11 19 28 35,,45,archive
390,2003-11-06,8 36 39 44 45,,15,archive
391,2003-11-13,19 20 29 34 35,,5,archive
392,2003-11-20,4 12 16 26 35,,22,archive
393,2003-11-27,26 35 40 42 43,,37,archive
394,2003-12-04,12 19 31 39 42,,43,archive
395,2003-12-11,2 19 22 27 36,,29,archive
396,2003-12-18,3 22 30 36 40,,12,archive
397,2003-12-25,3 10 18 24 30,,9,archive
398,2004-01-01,1 18 33 36 45,,42,archive
399,2004-01-08,26 27 34 38 42,,8,archive
400,2004-01-15,6 9 17 23 40,,28,archive
401,2004-01-22,4 24 33 34 45,,36,archive
402,2004-01-29,5 6 12 34 45,,19,archive
403,2004-02-05,1 18 19 31 33,,19,archive
404,2004-02-12,3 6 7 24 38,,30,archive
405,2004-02-19,7 11 19 38 44,,32,archive
406,2004-02-26,6 19 26 30 40,,23,archive
407,2004-03-04,5 11 24 28 40,,22,archive
408,2004-03-11,1 4 22 25 37,,27,archive
409,2004-03-18,17 23 31 35 42,,24,archive
410,2004-03-25,5 11 12 21 31,,8,archive
411,2004-04-01,1 25 32 34 39,,42,archive
412,2004-04-08,7 12 31 43 45,,7,archive
413,2004-04-15,4 10 11 25 34,,2,archive
414,2004-04-22,5 9 28 32 34,,6,archive
415,2004-04-29,7 9 17 30 33,,45,archive
416,2004-05-06,11 14 20 26 42,,31,archive
417,2004-05-13,7 23 25 36 45,,33,archive
418,2004-05-20,9 15 29 31 39,,25,archive
419,2004-05-27,3 8 9 24 42,,18,archive
420,2004-06-03,4 11 17 22 36,,14,archive
421,2004-06-10,15 17 19 25 34,,30,archive
422,2004-06-17,2 13 16 21 32,,6,archive
423,2004-06-24,11 18 36 41 45,,37,archive
424,2004-07-01,12 15 21 29 30,,29,archive
425,2004-07-08,11 12 19 25 30,,17,archive
426,2004-07-15,4 9 20 37 40,,44,archive
427,2004-07-22,1 10 21 35 37,,29,archive
428,2004-07-29,5 8 9 19 28,,16,archive
429,2004-08-05,2 11 20 27 39,,43,archive
430,2004-08-12,2 14 29 39 42,,30,archive
431,2004-08-19,14 18 29 32 43,,9,archive
432,2004-08-26,20 23 26 31 39,,2,archive
433,2004-09-02,22 25 26 37 40,,5,archive
434,2004-09-09,16 29 30 34 44,,3,archive
435,2004-09-16,14 26 28 42 43,,6,archive
